python3 MicroGan.py 
Loading parameters MicroGanV2
WARNING:root:Setting up a new session...
Starting Training Loop...
Save model iters 0
[11/1000][4/5]	Loss_D: 0.0043	Loss_G: 9.2867	D(x): 0.9975	D(G(z)): 0.0018 / 0.0001
[12/1000][1/5]	Loss_D: 0.0027	Loss_G: 9.2553	D(x): 0.9988	D(G(z)): 0.0015 / 0.0001
[12/1000][2/5]	Loss_D: 0.0025	Loss_G: 9.3050	D(x): 0.9991	D(G(z)): 0.0015 / 0.0001
[12/1000][3/5]	Loss_D: 0.0027	Loss_G: 9.3928	D(x): 0.9987	D(G(z)): 0.0014 / 0.0001
[12/1000][4/5]	Loss_D: 0.0028	Loss_G: 9.3569	D(x): 0.9986	D(G(z)): 0.0014 / 0.0001
[13/1000][1/5]	Loss_D: 0.0029	Loss_G: 9.3573	D(x): 0.9985	D(G(z)): 0.0014 / 0.0001
[13/1000][2/5]	Loss_D: 0.0028	Loss_G: 9.4132	D(x): 0.9987	D(G(z)): 0.0015 / 0.0001
[13/1000][3/5]	Loss_D: 0.0024	Loss_G: 9.5071	D(x): 0.9990	D(G(z)): 0.0014 / 0.0001
[13/1000][4/5]	Loss_D: 0.0023	Loss_G: 9.3883	D(x): 0.9989	D(G(z)): 0.0012 / 0.0001
[14/1000][1/5]	Loss_D: 0.0024	Loss_G: 9.3119	D(x): 0.9988	D(G(z)): 0.0012 / 0.0002
[14/1000][2/5]	Loss_D: 0.0024	Loss_G: 9.2135	D(x): 0.9987	D(G(z)): 0.0012 / 0.0002
[14/1000][3/5]	Loss_D: 0.0019	Loss_G: 9.1676	D(x): 0.9993	D(G(z)): 0.0011 / 0.0002
[14/1000][4/5]	Loss_D: 0.0023	Loss_G: 9.1773	D(x): 0.9988	D(G(z)): 0.0011 / 0.0002
[15/1000][1/5]	Loss_D: 0.0026	Loss_G: 9.1806	D(x): 0.9985	D(G(z)): 0.0011 / 0.0002
[15/1000][2/5]	Loss_D: 0.0016	Loss_G: 9.1021	D(x): 0.9994	D(G(z)): 0.0010 / 0.0002
[15/1000][3/5]	Loss_D: 0.0019	Loss_G: 9.2979	D(x): 0.9992	D(G(z)): 0.0011 / 0.0002
[15/1000][4/5]	Loss_D: 0.0020	Loss_G: 9.1723	D(x): 0.9989	D(G(z)): 0.0009 / 0.0002
[16/1000][1/5]	Loss_D: 0.0018	Loss_G: 9.2269	D(x): 0.9994	D(G(z)): 0.0012 / 0.0001
[16/1000][2/5]	Loss_D: 0.0022	Loss_G: 9.1995	D(x): 0.9988	D(G(z)): 0.0010 / 0.0001
[16/1000][3/5]	Loss_D: 0.0020	Loss_G: 9.2224	D(x): 0.9990	D(G(z)): 0.0010 / 0.0001
[16/1000][4/5]	Loss_D: 0.0018	Loss_G: 9.3180	D(x): 0.9993	D(G(z)): 0.0011 / 0.0001
[17/1000][1/5]	Loss_D: 0.0019	Loss_G: 9.2164	D(x): 0.9991	D(G(z)): 0.0010 / 0.0001
[17/1000][2/5]	Loss_D: 0.0017	Loss_G: 9.4376	D(x): 0.9994	D(G(z)): 0.0010 / 0.0001
[17/1000][3/5]	Loss_D: 0.0021	Loss_G: 9.3255	D(x): 0.9989	D(G(z)): 0.0010 / 0.0001
[17/1000][4/5]	Loss_D: 0.0018	Loss_G: 9.2694	D(x): 0.9991	D(G(z)): 0.0009 / 0.0001
[18/1000][1/5]	Loss_D: 0.0015	Loss_G: 9.3221	D(x): 0.9994	D(G(z)): 0.0009 / 0.0001
[18/1000][2/5]	Loss_D: 0.0024	Loss_G: 9.3238	D(x): 0.9987	D(G(z)): 0.0011 / 0.0001
[18/1000][3/5]	Loss_D: 0.0018	Loss_G: 9.4627	D(x): 0.9992	D(G(z)): 0.0010 / 0.0001
[18/1000][4/5]	Loss_D: 0.0019	Loss_G: 9.3949	D(x): 0.9990	D(G(z)): 0.0009 / 0.0001
[19/1000][1/5]	Loss_D: 0.0017	Loss_G: 9.4225	D(x): 0.9992	D(G(z)): 0.0009 / 0.0001
[19/1000][2/5]	Loss_D: 0.0016	Loss_G: 9.4318	D(x): 0.9992	D(G(z)): 0.0009 / 0.0001
[19/1000][3/5]	Loss_D: 0.0016	Loss_G: 9.5168	D(x): 0.9993	D(G(z)): 0.0009 / 0.0001
[19/1000][4/5]	Loss_D: 0.0015	Loss_G: 9.4661	D(x): 0.9993	D(G(z)): 0.0008 / 0.0001
[20/1000][1/5]	Loss_D: 0.0017	Loss_G: 9.3604	D(x): 0.9992	D(G(z)): 0.0009 / 0.0001
[20/1000][2/5]	Loss_D: 0.0018	Loss_G: 9.2548	D(x): 0.9991	D(G(z)): 0.0009 / 0.0001
[20/1000][3/5]	Loss_D: 0.0019	Loss_G: 9.5233	D(x): 0.9993	D(G(z)): 0.0012 / 0.0001
[20/1000][4/5]	Loss_D: 0.0021	Loss_G: 9.5512	D(x): 0.9988	D(G(z)): 0.0009 / 0.0001
[21/1000][1/5]	Loss_D: 0.0018	Loss_G: 9.5876	D(x): 0.9992	D(G(z)): 0.0009 / 0.0001
[21/1000][2/5]	Loss_D: 0.0018	Loss_G: 9.6227	D(x): 0.9992	D(G(z)): 0.0011 / 0.0001
[21/1000][3/5]	Loss_D: 0.0018	Loss_G: 9.7745	D(x): 0.9991	D(G(z)): 0.0009 / 0.0001
[21/1000][4/5]	Loss_D: 0.0018	Loss_G: 9.6329	D(x): 0.9992	D(G(z)): 0.0010 / 0.0001
[22/1000][1/5]	Loss_D: 0.0018	Loss_G: 9.6750	D(x): 0.9990	D(G(z)): 0.0008 / 0.0001
[22/1000][2/5]	Loss_D: 0.0020	Loss_G: 9.8994	D(x): 0.9993	D(G(z)): 0.0013 / 0.0001
[22/1000][3/5]	Loss_D: 0.0017	Loss_G: 9.8551	D(x): 0.9990	D(G(z)): 0.0008 / 0.0001
[22/1000][4/5]	Loss_D: 0.0019	Loss_G: 9.5896	D(x): 0.9990	D(G(z)): 0.0009 / 0.0001
[23/1000][1/5]	Loss_D: 0.0021	Loss_G: 10.2044	D(x): 0.9989	D(G(z)): 0.0011 / 0.0001
[23/1000][2/5]	Loss_D: 0.0022	Loss_G: 10.1102	D(x): 0.9987	D(G(z)): 0.0008 / 0.0001
[23/1000][3/5]	Loss_D: 0.0020	Loss_G: 9.8404	D(x): 0.9990	D(G(z)): 0.0010 / 0.0001
[23/1000][4/5]	Loss_D: 0.0026	Loss_G: 9.7935	D(x): 0.9986	D(G(z)): 0.0012 / 0.0001
[24/1000][1/5]	Loss_D: 0.0018	Loss_G: 9.9568	D(x): 0.9990	D(G(z)): 0.0009 / 0.0001
[24/1000][2/5]	Loss_D: 0.0022	Loss_G: 9.9221	D(x): 0.9991	D(G(z)): 0.0013 / 0.0001
[24/1000][3/5]	Loss_D: 0.0020	Loss_G: 9.9946	D(x): 0.9991	D(G(z)): 0.0011 / 0.0001
[24/1000][4/5]	Loss_D: 0.0020	Loss_G: 10.4615	D(x): 0.9994	D(G(z)): 0.0014 / 0.0001
[25/1000][1/5]	Loss_D: 0.0018	Loss_G: 9.6897	D(x): 0.9990	D(G(z)): 0.0008 / 0.0001
[25/1000][2/5]	Loss_D: 0.0022	Loss_G: 10.0816	D(x): 0.9993	D(G(z)): 0.0015 / 0.0001
[25/1000][3/5]	Loss_D: 0.0025	Loss_G: 10.0374	D(x): 0.9985	D(G(z)): 0.0010 / 0.0001
[25/1000][4/5]	Loss_D: 0.0021	Loss_G: 9.9454	D(x): 0.9988	D(G(z)): 0.0010 / 0.0001
[26/1000][1/5]	Loss_D: 0.0019	Loss_G: 10.0934	D(x): 0.9993	D(G(z)): 0.0012 / 0.0001
[26/1000][2/5]	Loss_D: 0.0018	Loss_G: 10.0650	D(x): 0.9992	D(G(z)): 0.0010 / 0.0001
[26/1000][3/5]	Loss_D: 0.0023	Loss_G: 10.0400	D(x): 0.9989	D(G(z)): 0.0011 / 0.0001
[26/1000][4/5]	Loss_D: 0.0021	Loss_G: 9.6016	D(x): 0.9987	D(G(z)): 0.0008 / 0.0001
[27/1000][1/5]	Loss_D: 0.0019	Loss_G: 10.0766	D(x): 0.9990	D(G(z)): 0.0009 / 0.0001
[27/1000][2/5]	Loss_D: 0.0029	Loss_G: 9.7807	D(x): 0.9982	D(G(z)): 0.0010 / 0.0001
[27/1000][3/5]	Loss_D: 0.0023	Loss_G: 10.3015	D(x): 0.9993	D(G(z)): 0.0016 / 0.0001
